VERSION,BASE,SPK,UPDATE,KBArticle,ReleaseDate
14.0.3076.1,2017,None,CU13,4484710,43549
14.0.3048.4,2017,None,CU13,4466404,43452
14.0.3045.24,2017,None,CU12,4464082,43397
14.0.3038.14,2017,None,CU11,4462262,43363
14.0.3037.1,2017,None,CU10,4342123,43339
14.0.3030.27,2017,None,CU9,4341265,43299
14.0.3029.16,2017,None,CU8,4338363,43272
14.0.3026.27,2017,None,CU7,4229789,43243
14.0.3025.34,2017,None,CU6,4101464,43207
14.0.3023.8,2017,None,CU5,4092643,43179
14.0.3022.28,2017,None,CU4,4056498,43151
14.0.3015.40,2017,None,CU3,4052987,43104
14.0.3008.27,2017,None,CU2,4052574,43067
14.0.3006.16,2017,None,CU1,4038634,43032
13.0.5292.0,2016,SP2,CU6,4488536,43543
13.0.5264.1,2016,SP2,CU5,4475776,43488
13.0.5233.0,2016,SP2,CU4,4464106,43417
13.0.5216.0,2016,SP2,CU3,4458871,43363
13.0.5201.2,2016,SP2,CU2 + Security Update,4458621,43333
13.0.5153.0,2016,SP2,CU2,4340355,43297
13.0.5149.0,2016,SP2,CU1,4135048,43250
13.0.5026.0,2016,SP2,RTW/PCU2,4052908,43214
13.0.4560.0,2016,SP1,CU14,4488535,43543
13.0.4550.1,2016,SP1,CU13,4475775,43488
13.0.4541.0,2016,SP1,CU12,4464343,43417
13.0.4528.0,2016,SP1,CU11,4459676,43360
13.0.4224.16,2016,SP1,CU10 + Security Update,4458842,43334
13.0.4514.0,2016,SP1,CU10,4341569,43297
13.0.4502.0,2016,SP1,CU9,4100997,43250
13.0.4474.0,2016,SP1,CU8,4077064,43178
13.0.4466.4,2016,SP1,CU7,4057119,43104
13.0.4457.0,2016,SP1,CU6,4037354,43059
13.0.4451.0,2016,SP1,CU5,4040714,42996
13.0.4446.0,2016,SP1,CU4,4024305,42955
13.0.4435.0,2016,SP1,CU3,4019916,42870
13.0.4422.0,2016,SP1,CU2,4013106,42814
13.0.4411.0,2016,SP1,CU1,3208177,42752
13.0.4001.0,2016,SP1,RTW/PCU1,3182545,42690
13.0.2216.0,2016,RTM,CU9,4037357,43059
13.0.2213.0,2016,RTM,CU8,4040713,42996
13.0.2210.0,2016,RTM,CU7,4024304,42955
13.0.2204.0,2016,RTM,CU6,4019914,42870
13.0.2197.0,2016,RTM,CU5,4013105,42814
13.0.2193.0,2016,RTM,CU4,3205052,42752
13.0.2186.6,2016,RTM,CU3,3205413,42690
13.0.2164.0,2016,RTM,CU2,3182270,42635
13.0.2149.0,2016,RTM,CU1,3164674,42576
12.0.6214.1,2014,SP3,CU2,4482960,43515
12.0.6205.1,2014,SP3,CU1,4470220,43446
12.0.6024.0,2014,SP3,RTW/PCU3,4022619,43403
12.0.5626.1,2014,SP2,CU16,4482967,43515
12.0.5605.1,2014,SP2,CU15,4469137,43446
12.0.5600.1,2014,SP2,CU14,4459860,43388
12.0.5590.1,2014,SP2,CU13,4456287,43339
12.0.5589.7,2014,SP2,CU12,4130489,43269
12.0.5579.0,2014,SP2,CU11,4077063,43178
12.0.5571.0,2014,SP2,CU10,4052725,43116
12.0.5563.0,2014,SP2,CU9,4055557,43087
12.0.5557.0,2014,SP2,CU8,4037356,43024
12.0.5556.0,2014,SP2,CU7,4032541,42975
12.0.5553.0,2014,SP2,CU6,4019094,42955
12.0.5546.0,2014,SP2,CU5,4013098,42842
12.0.5540.0,2014,SP2,CU4,4010394,42787
12.0.5538.0,2014,SP2,CU3,3204388,42723
12.0.5522.0,2014,SP2,CU2,3188778,42660
12.0.5511.0,2014,SP2,CU1,3178925,42607
12.0.5000.0,2014,SP2,RTW/PCU2,3171021,42562
12.0.4522.0,2014,SP1,CU13,4019099,42955
12.0.4511.0,2014,SP1,CU12,4017793,42842
12.0.4502.0,2014,SP1,CU11,4010392,42787
12.0.4491.0,2014,SP1,CU10,3204399,42723
12.0.4474.0,2014,SP1,CU9,3186964,42660
12.0.4468.0,2014,SP1,CU8,3174038,42597
12.0.4459.0,2014,SP1,CU7,3162659,42541
12.0.4457.0,2014,SP1,CU6,3167392,42520
12.0.4449.0,2014,SP1,CU6,3144524,42478
12.0.4438.0,2014,SP1,CU5,3130926,42422
12.0.4436.0,2014,SP1,CU4,3106660,42359
12.0.4427.24,2014,SP1,CU3,3094221,42296
12.0.4422.0,2014,SP1,CU2,3075950,42233
12.0.4416.0,2014,SP1,CU1,3067839,42174
12.0.4213.0,2014,SP1,MS15-058: GDR Security Update,3070446,42199
12.0.4100.1,2014,SP1,RTW/PCU1,3058865,42128
12.0.2569.0,2014,RTM,CU14,3158271,42541
12.0.2568.0,2014,RTM,CU13,3144517,42478
12.0.2564.0,2014,RTM,CU12,3130923,42422
12.0.2560.0,2014,RTM,CU11,3106659,42359
12.0.2556.4,2014,RTM,CU10,3094220,42296
12.0.2553.0,2014,RTM,CU9,3075949,42233
12.0.2548.0,2014,RTM,MS15-058: QFE Security Update,3045323,42199
12.0.2546.0,2014,RTM,CU8,3067836,42174
12.0.2495.0,2014,RTM,CU7,3046038,42114
12.0.2480.0,2014,RTM,CU6,3031047,42051
12.0.2456.0,2014,RTM,CU5,3011055,41990
12.0.2430.0,2014,RTM,CU4,2999197,41933
12.0.2402.0,2014,RTM,CU3,2984923,41869
12.0.2381.0,2014,RTM,MS14-044: QFE Security Update,2977316,41863
12.0.2370.0,2014,RTM,CU2,2967546,41817
12.0.2342.0,2014,RTM,CU1,2931693,41750
12.0.2269.0,2014,RTM,MS15-058: GDR Security Update,3045324,42199
12.0.2254.0,2014,RTM,MS14-044: GDR Security Update,2977315,41863
12.0.2000.8,2014,RTM,,,41730
11.0.7001.0,2012,SP4,RTW/PCU4,4018073,43010
11.0.6607.3,2012,SP3,CU10,4025925,42955
11.0.6598.0,2012,SP3,CU9,4016762,42870
11.0.6594.0,2012,SP3,CU8,4013104,42814
11.0.6579.0,2012,SP3,CU7,3205051,42752
11.0.6567.0,2012,SP3,CU6,3194992,42691
11.0.6544.0,2012,SP3,CU5,3180915,42632
11.0.6540.0,2012,SP3,CU4,3165264,42569
11.0.6537.0,2012,SP3,CU3,3152635,42506
11.0.6523.0,2012,SP3,CU2,3137746,42450
11.0.6518.0,2012,SP3,CU1,3123299,42388
11.0.6020.0,2012,SP3,RTW/PCU3,3072779,42328
11.0.5678.0,2012,SP2,CU16,3205054,42691
11.0.5676.0,2012,SP2,CU15,3205416,42691
11.0.5657.0,2012,SP2,CU14,3180914,42632
11.0.5655.0,2012,SP2,CU13,3165266,42569
11.0.5649.0,2012,SP2,CU12,3152637,42506
11.0.5646.0,2012,SP2,CU11,3137745,42450
11.0.5644.2,2012,SP2,CU10,3120313,42388
11.0.5641.0,2012,SP2,CU9,3098512,42324
11.0.5634.1,2012,SP2,CU8,3082561,42268
11.0.5623.0,2012,SP2,CU7,3072100,42205
11.0.5613.0,2012,SP2,MS15-058: QFE Security Update,3045319,42199
11.0.5592.0,2012,SP2,CU6,3052468,42142
11.0.5582.0,2012,SP2,CU5,3037255,42079
11.0.5569.0,2012,SP2,CU4,3007556,42023
11.0.5556.0,2012,SP2,CU3,3002049,41960
11.0.5548.0,2012,SP2,CU2,2983175,41897
11.0.5532.0,2012,SP2,CU1,2976982,41843
11.0.5343.0,2012,SP2,MS15-058: GDR Security Update,3045321,42199
11.0.5058.0,2012,SP2,RTW/PCU2,2958429,41800
11.0.3513.0,2012,SP1,MS15-058: QFE Security Update,3045317,42199
11.0.3482.0,2012,SP1,CU13,3002044,41960
11.0.3470.0,2012,SP1,CU12,2991533,41897
11.0.3460.0,2012,SP1,MS14-044: QFE Security Update,2977325,41863
11.0.3449.0,2012,SP1,CU11,2975396,41841
11.0.3431.0,2012,SP1,CU10,2954099,41778
11.0.3412.0,2012,SP1,CU9,2931078,41715
11.0.3401.0,2012,SP1,CU8,2917531,41659
11.0.3393.0,2012,SP1,CU7,2894115,41596
11.0.3381.0,2012,SP1,CU6,2874879,41533
11.0.3373.0,2012,SP1,CU5,2861107,41470
11.0.3368.0,2012,SP1,CU4,2833645,41424
11.0.3349.0,2012,SP1,CU3,2812412,41351
11.0.3339.0,2012,SP1,CU2,2790947,41295
11.0.3321.0,2012,SP1,CU1,2765331,41233
11.0.3156.0,2012,SP1,MS15-058: GDR Security Update,3045318,42199
11.0.3153.0,2012,SP1,MS14-044: GDR Security Update,2977326,41863
11.0.3000.0,2012,SP1,RTW/PCU1,2674319,41220
11.0.2424.0,2012,RTM,CU11,2908007,41624
11.0.2420.0,2012,RTM,CU10,2891666,41568
11.0.2419.0,2012,RTM,CU9,2867319,41506
11.0.2410.0,2012,RTM,CU8,2844205,41442
11.0.2405.0,2012,RTM,CU7,2823247,41379
11.0.2401.0,2012,RTM,CU6,2728897,41323
11.0.2395.0,2012,RTM,CU5,2777772,41260
11.0.2383.0,2012,RTM,CU4,2758687,41197
11.0.2376.0,2012,RTM,MS12-070: QFE Security Update,2716441,41191
11.0.2332.0,2012,RTM,CU3,2723749,41152
11.0.2325.0,2012,RTM,CU2,2703275,41078
11.0.2316.0,2012,RTM,CU1,2679368,41011
11.0.2318.0,2012,RTM,,,
11.0.2218.0,2012,RTM,MS12-070: GDR Security Update,2716442,41191
11.0.2100.60,2012,RTM,,,40974
10.50.6529.0,2008 R2,SP3,MS15-058: QFE Security Update,3045314,42199
10.50.6220.0,2008 R2,SP3,MS15-058: QFE Security Update,3045316,42199
10.50.6000.34,2008 R2,SP3,RTW/PCU3,2979597,41908
10.50.4339.0,2008 R2,SP2,MS15-058: QFE Security Update,3045312,42199
10.50.4321.0,2008 R2,SP2,MS14-044: QFE Security Update,2977319,41865
10.50.4319.0,2008 R2,SP2,CU13,2967540,41820
10.50.4305.0,2008 R2,SP2,CU12,2938478,41750
10.50.4302.0,2008 R2,SP2,CU11,2926028,41688
10.50.4297.0,2008 R2,SP2,CU10,2908087,41625
10.50.4295.0,2008 R2,SP2,CU9,2887606,41575
10.50.4290.0,2008 R2,SP2,CU8,2871401,41508
10.50.4285.0,2008 R2,SP2,CU7,2844090,41442
10.50.4279.0,2008 R2,SP2,CU6,2830140,41379
10.50.4276.0,2008 R2,SP2,CU5,2797460,41323
10.50.4270.0,2008 R2,SP2,CU4,2777358,41260
10.50.4266.0,2008 R2,SP2,CU3,2754552,41197
10.50.4263.0,2008 R2,SP2,CU2,2740411,41152
10.50.4260.0,2008 R2,SP2,CU1,2720425,41114
10.50.4042.0,2008 R2,SP2,MS15-058: GDR Security Update,3045313,42199
10.50.4033.0,2008 R2,SP2,MS14-044: GDR Security Update,2977320,41863
10.50.4000.0,2008 R2,SP2,RTW/PCU2,2630458,41116
10.50.2881.0,2008 R2,SP1,CU14,2868244,41494
10.50.2876.0,2008 R2,SP1,CU13,2855792,41442
10.50.2874.0,2008 R2,SP1,CU12,2828727,41379
10.50.2869.0,2008 R2,SP1,CU11,2812683,41323
10.50.2868.0,2008 R2,SP1,CU10,2783135,41260
10.50.2866.0,2008 R2,SP1,CU9,2756574,41197
10.50.2861.0,2008 R2,SP1,MS12-070: QFE Security Update,2716439,41191
10.50.2822.0,2008 R2,SP1,CU8,2723743,41152
10.50.2817.0,2008 R2,SP1,CU7,2703282,41078
10.50.2811.0,2008 R2,SP1,CU6,2679367,41015
10.50.2806.0,2008 R2,SP1,CU5,2659694,40961
10.50.2796.0,2008 R2,SP1,CU4,2633146,40896
10.50.2789.0,2008 R2,SP1,CU3,2591748,40833
10.50.2772.0,2008 R2,SP1,CU2,2567714,40770
10.50.2769.0,2008 R2,SP1,CU1,2544793,40742
10.50.2550.0,2008 R2,SP1,MS12-070: GDR Security Update,2754849,41191
10.50.2500.0,2008 R2,SP1,RTW/PCU1,2528583,40736
10.50.1815.0,2008 R2,RTM,CU13,2679366,41015
10.50.1810.0,2008 R2,RTM,CU12,2659692,40960
10.50.1809.0,2008 R2,RTM,CU11,2633145,40896
10.50.1807.0,2008 R2,RTM,CU10,2591746,40833
10.50.1804.0,2008 R2,RTM,CU9,2567713,40770
10.50.1797.0,2008 R2,RTM,CU8,2534352,40714
10.50.1790.0,2008 R2,RTM,MS11-049: QFE Security Update,2494086,40708
10.50.1777.0,2008 R2,RTM,CU7,2507770,40651
10.50.1765.0,2008 R2,RTM,CU6,2489376,40595
10.50.1753.0,2008 R2,RTM,CU5,2438347,40532
10.50.1746.0,2008 R2,RTM,CU4,2345451,40469
10.50.1734.0,2008 R2,RTM,CU3,2261464,40406
10.50.1720.0,2008 R2,RTM,CU2,2072493,40350
10.50.1702.0,2008 R2,RTM,CU1,981355,40316
10.50.1617.0,2008 R2,RTM,MS11-049: GDR Security Update,2494088,40708
10.50.1600.1,2008 R2,RTM,,,40308
10.00.6535.0,2008,SP3,MS15-058: QFE Security Update,3045308,42199
10.00.6241.0,2008,SP3,MS15-058: GDR Security Update,3045311,42199
10.00.6000.29,2008,SP4,RTM,,,
10.00.5890.0,2008,SP3,MS15-058: QFE Security Update,3045303,42199
10.00.5869.0,2008,SP3,MS14-044: QFE Security Update,"2984340,2977322",41863
10.00.5867.0,2008,SP3,(on-demand update package),"2888996,2877204,2920987",
10.00.5861.0,2008,SP3,CU17,2958696,41778
10.00.5852.0,2008,SP3,CU16,2936421,41715
10.00.5850.0,2008,SP3,CU15,2923520,41659
10.00.5848.0,2008,SP3,CU14,2893410,41596
10.00.5846.0,2008,SP3,CU13,2880350,41533
10.00.5844.0,2008,SP3,CU12,2863205,41470
10.00.5840.0,2008,SP3,CU11,2834048,41414
10.00.5835.0,2008,SP3,CU10,2814783,41351
10.00.5829.0,2008,SP3,CU9,2799883,41295
10.00.5828.0,2008,SP3,CU8,2771833,41232
10.00.5826.0,2008,SP3,MS12-070: QFE Security Update,2716435,41191
10.00.5794.0,2008,SP3,CU7,2738350,41169
10.00.5788.0,2008,SP3,CU6,2715953,41106
10.00.5785.0,2008,SP3,CU5,2696626,41050
10.00.5775.0,2008,SP3,CU4,2673383,40987
10.00.5770.0,2008,SP3,CU3,2648098,40924
10.00.5768.0,2008,SP3,CU2,2633143,40868
10.00.5766.0,2008,SP3,CU1,2617146,40833
10.00.5538.0,2008,SP3,MS15-058: GDR Security Update,3045305,42199
10.00.5520.0,2008,SP3,MS14-044: GDR Security Update,2977321,41863
10.00.5512.0,2008,SP3,MS12-070: GDR Security Update,2716436,41191
10.00.5500.0,2008,SP3,RTW / PCU 3,2546951,40822
10.00.4371.0,2008,SP2,MS12-070: QFE Security Update,2716433,41191
10.00.4333.0,2008,SP2,CU11,2715951,41106
10.00.4332.0,2008,SP2,CU10,2696625,41050
10.00.4330.0,2008,SP2,CU9,2673382,40987
10.00.4326.0,2008,SP2,CU8,2648096,40924
10.00.4323.0,2008,SP2,CU7,2617148,40868
10.00.4321.0,2008,SP2,CU6,2582285,40805
10.00.4316.0,2008,SP2,CU5,2555408,40742
10.00.4311.0,2008,SP2,MS11-049: QFE Security Update,2494094,40708
10.00.4285.0,2008,SP2,CU4,2527180,40679
10.00.4279.0,2008,SP2,CU3,2498535,40619
10.00.4272.0,2008,SP2,CU2,2467239,40560
10.00.4266.0,2008,SP2,CU1,2289254,40497
10.00.4067.0,2008,SP2,MS12-070: GDR Security Update,2716434,41191
10.00.4064.0,2008,SP2,MS11-049: GDR Security Update,2494089,40708
10.00.4000.0,2008,SP2,RTW / PCU 2,2285068,40450
10.00.2850.0,2008,SP1,CU16,2582282,40805
10.00.2847.0,2008,SP1,CU15,2555406,40742
10.00.2841.0,2008,SP1,MS11-049: QFE Security Update,2494100,40708
10.00.2821.0,2008,SP1,CU14,2527187,40679
10.00.2816.0,2008,SP1,CU13,2497673,40619
10.00.2808.0,2008,SP1,CU12,2467236,40560
10.00.2804.0,2008,SP1,CU11,2413738,40497
10.00.2799.0,2008,SP1,CU10,2279604,40441
10.00.2789.0,2008,SP1,CU9,2083921,40378
10.00.2775.0,2008,SP1,CU8,981702,40315
10.00.2766.0,2008,SP1,CU7,979065,40263
10.00.2757.0,2008,SP1,CU6,977443,40196
10.00.2746.0,2008,SP1,CU5,975977,40133
10.00.2734.0,2008,SP1,CU4,973602,40077
10.00.2723.0,2008,SP1,CU3,971491,40014
10.00.2714.0,2008,SP1,CU2,970315,39951
10.00.2710.0,2008,SP1,CU1,969099,39919
10.00.2573.0,2008,SP1,MS11-049: GDR Security update,2494096,40708
10.00.2531.0,2008,SP1,RTW / PCU 1,,"April, 2009"
10.00.1835.0,2008,RTM,CU10,979064,40252
10.00.1828.0,2008,RTM,CU9,977444,40196
10.00.1823.0,2008,RTM,CU8,975976,40133
10.00.1818.0,2008,RTM,CU7,973601,40077
10.00.1812.0,2008,RTM,CU6,971490,40014
10.00.1806.0,2008,RTM,CU5,969531,39951
10.00.1798.0,2008,RTM,CU4,963036,39888
10.00.1787.0,2008,RTM,CU3,960484,39832
10.00.1779.0,2008,RTM,CU2,958186,39771
10.00.1763.0,2008,RTM,CU1,956717,39713
10.00.1600.22,2008,RTM,,,39666
9.00.5324,2005,SP4,MS12-070: QFE Security update,2716427,41191
9.00.5292,2005,SP4,MS11-049: QFE Security update,2494123,40708
9.00.5266,2005,SP4,CU3,2507769,40624
9.00.5259,2005,SP4,CU2,2489409,40230
9.00.5254,2005,SP4,CU1,2464079,40535
9.00.5069,2005,SP4,MS12-070: GDR Security update,2716429,41191
9.00.5057,2005,SP4,MS11-049: GDR Security update,2494120,40708
9.00.5000,2005,SP4,RTW / PCU4,,40528
9.00.4340,2005,SP3,MS11-049: QFE Security update,2494112,40708
9.00.4325,2005,SP3,CU15,2507766,40624
9.00.4317,2005,SP3,CU14,2489375,40595
9.00.4315,2005,SP3,CU13,2438344,40532
9.00.4311,2005,SP3,CU12,2345449,40469
9.00.4309,2005,SP3,CU11,2258854,40406
9.00.4305,2005,SP3,CU10,983329,40350
9.00.4294,2005,SP3,CU9,980176,40287
9.00.4285,2005,SP3,CU8,978915,40225
9.00.4273,2005,SP3,CU7,976951,40168
9.00.4266,2005,SP3,CU6,974648,40105
9.00.4262,2005,SP3,MS09-062: QFE Security update,970894,40099
9.00.4230,2005,SP3,CU5,972511,40042
9.00.4226,2005,SP3,CU4,970279,39979
9.00.4220,2005,SP3,CU3,967909,39923
9.00.4211,2005,SP3,CU2,961930,39860
9.00.4207,2005,SP3,CU1,959195,39801
9.00.4060,2005,SP3,MS11-049: GDR Security update,2494113,40708
9.00.4053,2005,SP3,MS09-062: GDR Security update,970892,40099
9.00.4035,2005,SP3,RTW,955706,39797
9.00.3356,2005,SP2,CU17,976952,40168
9.00.3355,2005,SP2,CU16,974647,40105
9.00.3353,2005,SP2,MS09-062: QFE Security update,970896,40099
9.00.3330,2005,SP2,CU15,972510,40042
9.00.3328,2005,SP2,CU14,970278,39979
9.00.3325,2005,SP2,CU13,967908,39923
9.00.3315,2005,SP2,CU12,960485,39860
9.00.3310,2005,SP2,MS09-004: QFE Security update,960090,39854
9.00.3301,2005,SP2,CU11,958735,39797
9.00.3294,2005,SP2,CU10,956854,39742
9.00.3282,2005,SP2,MS08-052: Security update,954607,39700
9.00.3282,2005,SP2,CU9,953752,39678
9.00.3257,2005,SP2,CU8,951217,39615
9.00.3239,2005,SP2,CU7,949095,39552
9.00.3233,2005,SP2,MS08-040: QFE Security update,948108,39637
9.00.3228,2005,SP2,CU6,946608,39496
9.00.3215,2005,SP2,CU5,943656,39433
9.00.3200,2005,SP2,CU4,941450,39370
9.00.3186,2005,SP2,CU3,939537,39314
9.00.3175,2005,SP2,CU2,936305,39251
9.00.3161,2005,SP2,CU1,935356,39188
9.00.3152,2005,SP2,Rollup,933097,39217
9.00.3080,2005,SP3,MS09-062: GDR Security update,970895,40099
9.00.3077,2005,SP4,MS09-004: GDR Security update,960089,39854
9.00.3073,2005,SP5,MS08-052: GDR Security update,954606,39700
9.00.3068,2005,SP6,MS08-040: GDR Security update,948109,39637
9.00.3042,2005,SP2,,937137,
9.00.2047,2005,SP1,,,
9.00.1399,2005,RTM,,,
8.00.2283,2000,,Post-SP4 hotfix for MS09-004 (971524),,
8.00.2282,2000,,"MS09-004: KB959420 October 29,2008",,
8.00.2273,2000,,"MS08-040 - KB 948111 July 8, 2008",,
8.00.2040,2000,,Post-SP4 AWE fix (899761),,
8.00.2039,2000,SP4,SQL Server 2000 SP4,,
8.00.1007,2000,,Update.exe Hotfix Installer Baseline 2 (891640),,
8.00.977,2000,,Update.exe Hotfix Installer Baseline 1 (884856),,
8.00.818,2000,,,821277,
8.00.765,2000,,Post SP3 hotfix rollup,,
8.00.760,2000,,SQL Server 2000 SP3 or SP3a (8.00.766 ssnetlib.dll),,
8.00.701,2000,,Hotfix Installer v.1 released,,
8.00.534,2000,,SQL Server 2000 SP2,,
8.00.384,2000,,SQL Server 2000 SP1,,
8.00.194,2000,,SQL Server 2000 RTM or MSDE 2.0,,
